 1 7 40 5 28 30
 120
 1 6 29 11
 2 84 85 12
 3 44 25 8
 4 27 68 12
 5 45 43 2
 6 55 89 12
 7 64 73 20
 8 80 85 5
 9 53 52 14
 10 29 46 11
 11 22 22 7
 12 99 87 3
 13 51 22 11
 14 17 49 11
 15 76 63 12
 16 94 38 18
 17 5 23 2
 18 29 70 20
 19 38 84 9
 20 30 69 15
 21 7 87 20
 22 37 45 14
 23 55 60 3
 24 73 53 4
 25 16 75 18
 26 57 96 8
 27 69 28 17
 28 53 33 14
 29 79 29 12
 30 46 6 2
 31 41 71 10
 32 54 87 2
 33 7 13 11
 34 30 28 11
 35 41 76 3
 36 15 39 4
 37 36 59 10
 38 33 47 7
 39 10 6 5
 40 51 11 20
