param: A: K:=
ATM0	         4
ATM1	         3
ATM2	         3
ATM3	         7
ATM4	         5
;

param: D:	B:=
DATE0	     5829.
DATE1	     9829.
DATE2	       70.
DATE3	      841.
DATE4	     4915.
DATE5	     1100.
DATE6	     4915.
DATE7	     5622.
DATE8	     6264.
DATE9	      243.
;

param: AD: Ca Cb Cc Cd Ce Cw :=
ATM0	DATE0	     2822.     1984.    -1984.     1045.      593.      780.
ATM0	DATE1	     1337.     2530.    -2530.     1510.    -2177.     2351.
ATM0	DATE2	     2685.      -67.       67.      145.      532.     2288.
ATM0	DATE3	     -595.    -3135.     3135.      581.     1962.     1357.
ATM0	DATE4	     3041.     -951.      951.       74.    -1590.     3637.
ATM0	DATE5	      721.      479.     -479.     1121.      799.     1371.
ATM0	DATE6	     3573.     3186.    -3186.      757.     -324.     2225.
ATM0	DATE7	      399.      341.     -341.      843.     -368.     1721.
ATM0	DATE8	     1644.     -643.      643.      915.     -532.     2110.
ATM0	DATE9	    -1161.     -931.      931.       43.    -1334.     3118.
ATM1	DATE0	    -1671.      601.     -601.     1772.     -568.     2830.
ATM1	DATE1	     2933.      618.     -618.      636.      891.      184.
ATM1	DATE2	    -2850.     -610.      610.      825.     2781.      282.
ATM1	DATE3	    -2470.    -1977.     1977.       20.     1922.      998.
ATM1	DATE4	    -1248.     1566.    -1566.     1262.    -1703.     3198.
ATM1	DATE5	     2031.    -1480.     1480.      976.     -517.     3170.
ATM1	DATE6	     5002.      679.     -679.      632.    -1402.     2301.
ATM1	DATE7	     6328.     1375.    -1375.      586.      438.      719.
ATM1	DATE8	     1443.      534.     -534.      655.      635.      818.
ATM1	DATE9	    -1561.      157.     -157.      859.      355.     1426.
ATM2	DATE0	      589.     -691.      691.     1229.    -1935.     2803.
ATM2	DATE1	    -1068.    -2001.     2001.      410.     1043.     1031.
ATM2	DATE2	     -185.     2626.    -2626.      454.      771.       23.
ATM2	DATE3	      413.     3649.    -3649.       26.      480.      376.
ATM2	DATE4	     1174.     -951.      951.      958.     1669.      541.
ATM2	DATE5	     1564.    -1376.     1376.      443.       29.     2195.
ATM2	DATE6	      225.     2067.    -2067.      800.    -2933.     3676.
ATM2	DATE7	    -1340.     1046.    -1046.      123.     -627.     2475.
ATM2	DATE8	     2097.     -574.      574.      396.     1009.     1232.
ATM2	DATE9	      996.    -1377.     1377.       82.     2157.      352.
ATM3	DATE0	     -482.     2943.    -2943.     1593.     -178.      853.
ATM3	DATE1	     4036.       93.      -93.     1387.      286.     2310.
ATM3	DATE2	    -1168.     -451.      451.     1785.    -2323.     3542.
ATM3	DATE3	     -955.    -1282.     1282.     3317.      940.      739.
ATM3	DATE4	    -1123.     1251.    -1251.       80.     -130.     1315.
ATM3	DATE5	      621.    -1141.     1141.     1642.    -1206.     2929.
ATM3	DATE6	     -959.    -3214.     3214.      815.      469.     2928.
ATM3	DATE7	     5032.     -976.      976.       99.     -969.     2101.
ATM3	DATE8	     -350.     -480.      480.      242.    -2804.     3522.
ATM3	DATE9	    -3579.    -2369.     2369.     1546.     3330.      319.
ATM4	DATE0	     2334.      151.     -151.       92.     -144.     1184.
ATM4	DATE1	     1492.      811.     -811.     2282.      359.      181.
ATM4	DATE2	    -3352.    -3310.     3310.      404.     2349.     1096.
ATM4	DATE3	      942.    -1043.     1043.      504.     -184.     1568.
ATM4	DATE4	    -1353.    -1789.     1789.      549.      -55.     2710.
ATM4	DATE5	     -167.     -346.      346.      185.     -698.     1096.
ATM4	DATE6	      900.     -136.      136.      624.    -3187.     3834.
ATM4	DATE7	     2378.    -1849.     1849.     2004.    -1890.     4214.
ATM4	DATE8	     3167.     -443.      443.     1659.     1647.     1902.
ATM4	DATE9	    -2324.     -951.      951.     1204.      233.     3280.
;
