param: A: K:=
ATM0	         7
ATM1	        14
ATM2	         8
ATM3	         7
ATM4	        15
;

param: D:	B:=
DATE0	     1084.
DATE1	     3293.
DATE2	      569.
DATE3	     5543.
DATE4	     3724.
DATE5	     5174.
DATE6	     4082.
DATE7	     5565.
DATE8	    11131.
DATE9	     5565.
DATE10	      559.
DATE11	     4733.
DATE12	     1797.
DATE13	      281.
DATE14	      830.
DATE15	     1029.
DATE16	     2724.
DATE17	    10448.
DATE18	     3152.
DATE19	     5106.
DATE20	     2687.
DATE21	     5139.
DATE22	     5565.
DATE23	     3693.
DATE24	     4532.
;


param: AD: Ca Cb Cc Cd Ce Cw :=
ATM0	DATE0	     2822.     1984.    -1984.     1045.      593.      780.
ATM0	DATE1	     1337.     2530.    -2530.     1510.    -2177.     2351.
ATM0	DATE2	     2685.      -67.       67.      145.      532.     2288.
ATM0	DATE3	     -595.    -3135.     3135.      581.     1962.     1357.
ATM0	DATE4	     3041.     -951.      951.       74.    -1590.     3637.
ATM0	DATE5	      721.      479.     -479.     1121.      799.     1371.
ATM0	DATE6	     3573.     3186.    -3186.      757.     -324.     2225.
ATM0	DATE7	      399.      341.     -341.      843.     -368.     1721.
ATM0	DATE8	     1644.     -643.      643.      915.     -532.     2110.
ATM0	DATE9	    -1161.     -931.      931.       43.    -1334.     3118.
ATM0	DATE10	    -1671.      601.     -601.     1772.     -568.     2830.
ATM0	DATE11	     2933.      618.     -618.      636.      891.      184.
ATM0	DATE12	    -2850.     -610.      610.      825.     2781.      282.
ATM0	DATE13	    -2470.    -1977.     1977.       20.     1922.      998.
ATM0	DATE14	    -1248.     1566.    -1566.     1262.    -1703.     3198.
ATM0	DATE15	     2031.    -1480.     1480.      976.     -517.     3170.
ATM0	DATE16	     5002.      679.     -679.      632.    -1402.     2301.
ATM0	DATE17	     6328.     1375.    -1375.      586.      438.      719.
ATM0	DATE18	     1443.      534.     -534.      655.      635.      818.
ATM0	DATE19	    -1561.      157.     -157.      859.      355.     1426.
ATM0	DATE20	      589.     -691.      691.     1229.    -1935.     2803.
ATM0	DATE21	    -1068.    -2001.     2001.      410.     1043.     1031.
